miRNA,have_motif,have_mean,no_motif,no_mean,D,p,fdr
hsa-miR-4638-5p,978,6.050731133,22913,6.397512985,0.024222637,0.640903837,1
hsa-miR-4639-3p,474,6.036473643,23417,6.390337856,0.02774554,0.86686632,1
hsa-miR-4639-5p,176,5.828839042,23715,6.387432191,0.064212811,0.467242709,1
hsa-miR-4640-3p,1477,6.024718439,22414,6.406947486,0.041989456,0.015099298,1
hsa-miR-4640-5p,3614,5.974543753,20277,6.456173446,0.035870283,0.000746492,1
hsa-miR-4641,634,5.945282634,23257,6.39525824,0.034562641,0.45228935,1
hsa-miR-4642,822,6.175222857,23069,6.390732017,0.025873664,0.662675875,1
hsa-miR-4643,64,7.009776373,23827,6.381634465,0.047282888,0.998832614,1
hsa-miR-4645-3p,268,6.394797657,23623,6.383186907,0.056517775,0.365678581,1
hsa-miR-4645-5p,114,6.993051552,23777,6.38039375,0.081097094,0.444583416,1
hsa-miR-4646-3p,385,5.850491937,23506,6.392044188,0.064417596,0.086237073,1
hsa-miR-4646-5p,2875,6.122224889,21016,6.419034713,0.024049105,0.107272664,1
hsa-miR-4647,1036,5.747786077,22855,6.412125299,0.058381867,0.002327643,1
hsa-miR-4648,740,5.863657096,23151,6.399927598,0.040613446,0.18763503,1
hsa-miR-4649-3p,1620,5.931065534,22271,6.416214086,0.034330173,0.056898541,1
hsa-miR-4649-5p,784,5.730879077,23107,6.405453797,0.052244913,0.031862887,1
hsa-miR-4650-3p,237,6.118370057,23654,6.385971776,0.062312723,0.321978586,1
hsa-miR-4650-5p,1117,6.087116995,22774,6.397844928,0.038431542,0.086100084,1
hsa-miR-4652-3p,137,5.876215873,23754,6.386241833,0.059677079,0.717059117,1
hsa-miR-4652-5p,763,6.285623327,23128,6.386540102,0.027623691,0.625903084,1
hsa-miR-4653-3p,422,6.124611041,23469,6.38796899,0.029952792,0.850976329,1
hsa-miR-4653-5p,858,5.639013314,23033,6.411043141,0.04311823,0.092298126,1
hsa-miR-4654,890,5.902603217,23001,6.401917883,0.043191429,0.081772841,1
hsa-miR-4655-3p,318,5.51718658,23573,6.395001262,0.065890328,0.131125768,1
hsa-miR-4655-5p,503,6.329032014,23388,6.384484649,0.01975168,0.990704911,1
hsa-miR-4657,811,6.345743867,23080,6.384637427,0.015189006,0.993598056,1
hsa-miR-4658,875,6.276400535,23016,6.387381805,0.018655196,0.930974498,1
hsa-miR-4659a-3p,105,5.418616454,23786,6.38757569,0.0944337,0.308813898,1
hsa-miR-4659a-5p,214,6.72784403,23677,6.380203212,0.057332345,0.488485283,1
hsa-miR-4659b-3p,184,5.858362046,23707,6.38739155,0.045039898,0.852703162,1
hsa-miR-4659b-5p,95,7.026917977,23796,6.380747725,0.11489149,0.16440098,1
hsa-miR-466,144,7.169152192,23747,6.378551908,0.09715467,0.134094557,1
hsa-miR-4660,1432,6.15046947,22459,6.398163667,0.024722704,0.383033689,1
hsa-miR-4661-3p,613,5.695762831,23278,6.401423123,0.055026086,0.053729482,1
hsa-miR-4661-5p,188,6.046834224,23703,6.385985962,0.074915106,0.246021672,1
hsa-miR-4662a-3p,8,2.400103154,23883,6.384651395,0,1,1
hsa-miR-4662a-5p,82,6.333467581,23809,6.383488838,0.085889841,0.582922308,1
hsa-miR-4662b,62,6.684776746,23829,6.382532793,0.134537207,0.212955343,1
hsa-miR-4663,1410,6.05116189,22481,6.404149807,0.027004301,0.287985425,1
hsa-miR-4664-3p,151,5.485527721,23740,6.389027607,0.071475198,0.427401064,1
hsa-miR-4664-5p,1037,5.766182486,22854,6.411319631,0.04420075,0.041462322,1
hsa-miR-4665-3p,174,5.804094795,23717,6.387566623,0.076389505,0.265767616,1
hsa-miR-4665-5p,3178,5.957701297,20713,6.448619483,0.037175572,0.000985345,1
hsa-miR-4666a-3p,15,5.780950915,23876,6.383695586,0.212201932,0.509438065,1
hsa-miR-4666a-5p,32,4.036417648,23859,6.386464844,0.201366623,0.149732905,1
hsa-miR-4666b,138,5.289245851,23753,6.389673479,0.153742899,0.003048979,1
hsa-miR-4667-5p,3084,5.896507356,20807,6.455471783,0.038365739,0.000736383,1
hsa-miR-4668-3p,178,5.172622219,23713,6.39240515,0.11591968,0.01733692,1
hsa-miR-4668-5p,112,6.001962452,23779,6.385113347,0.077247782,0.5189903,1
hsa-miR-4669,273,6.362649982,23618,6.383556044,0.056311896,0.359034175,1
hsa-miR-4670-3p,37,6.432176242,23854,6.383241367,0.094434839,0.896749485,1
hsa-miR-4670-5p,44,6.901680132,23847,6.382360723,0.170728546,0.154488561,1
hsa-miR-4671-3p,96,6.005446309,23795,6.384841657,0.086440604,0.472582321,1
hsa-miR-4671-5p,89,6.808543126,23802,6.381727155,0.105870152,0.273356764,1
hsa-miR-4672,718,6.150105755,23173,6.390543052,0.031822526,0.480959624,1
hsa-miR-4673,3672,6.050058034,20219,6.443840792,0.024615765,0.046286583,1
hsa-miR-4674,2197,5.907855078,21694,6.431468262,0.033243074,0.024327817,1
hsa-miR-4675,1920,5.871018455,21971,6.42808587,0.034224612,0.031960038,1
hsa-miR-4676-3p,210,5.90349694,23681,6.387572135,0.071348338,0.239826356,1
hsa-miR-4676-5p,974,6.103860299,22917,6.395194404,0.031835848,0.299978108,1
hsa-miR-4677-3p,258,5.444595584,23633,6.393565117,0.103175431,0.008734782,1
hsa-miR-4677-5p,193,5.80529527,23698,6.388024647,0.08827946,0.101177331,1
hsa-miR-4678,24,5.583347992,23867,6.384121579,0.144146031,0.701536564,1
hsa-miR-4679,157,6.150262289,23734,6.384858806,0.092835187,0.135938552,1
hsa-miR-4680-3p,59,6.953768053,23832,6.381904908,0.171949409,0.061598065,1
hsa-miR-4680-5p,207,5.586594053,23684,6.390280574,0.054656439,0.572107039,1
hsa-miR-4681,218,6.403613037,23673,6.383130251,0.04695765,0.727562676,1
hsa-miR-4682,899,6.343243238,22992,6.384884064,0.030493946,0.396968709,1
hsa-miR-4683,543,6.194079238,23348,6.387718222,0.051539033,0.119288296,1
hsa-miR-4684-3p,203,6.539650787,23688,6.381977414,0.064642071,0.369580358,1
hsa-miR-4684-5p,197,5.95566294,23694,6.386872815,0.074062315,0.234142581,1
hsa-miR-4685-3p,1703,5.798067422,22188,6.428236942,0.045994904,0.002481904,1
hsa-miR-4686,843,5.985618763,23048,6.397863305,0.042890838,0.100344671,1
hsa-miR-4687-3p,1002,6.192679082,22889,6.391662617,0.018064879,0.912731296,1
hsa-miR-4687-5p,1265,5.936282933,22626,6.408310447,0.03291603,0.149076954,1
hsa-miR-4689,2159,5.965525756,21732,6.424823301,0.035324352,0.014876306,1
hsa-miR-4690-5p,2326,6.07195063,21565,6.416901132,0.023340581,0.202809264,1
hsa-miR-4691-3p,2238,6.010803186,21653,6.421819265,0.028597003,0.072481027,1
hsa-miR-4691-5p,2388,6.077365927,21503,6.417294343,0.028146378,0.066381552,1
hsa-miR-4692,3405,5.992780727,20486,6.44822863,0.027429556,0.024715541,1
hsa-miR-4693-3p,326,5.688786771,23565,6.392925338,0.072238515,0.069747947,1
hsa-miR-4693-5p,115,5.788617861,23776,6.3861936,0.094078428,0.263152163,1
hsa-miR-4694-3p,71,5.805498735,23820,6.385039449,0.116301841,0.293764461,1
hsa-miR-4694-5p,57,6.325921193,23834,6.383454417,0.082172895,0.837242761,1
hsa-miR-4695-3p,619,6.526599516,23272,6.379506058,0.021770565,0.937449129,1
hsa-miR-4695-5p,3781,5.902794421,20110,6.473663072,0.033536141,0.001555966,1
hsa-miR-4696,201,5.877869736,23690,6.387605668,0.051927782,0.65565822,1
hsa-miR-4697-3p,627,5.686181701,23264,6.402106007,0.051443908,0.078984884,1
hsa-miR-4697-5p,965,5.759626565,22926,6.409569504,0.049674126,0.020716869,1
hsa-miR-4698,238,6.098900604,23653,6.386178994,0.069736211,0.201961121,1
hsa-miR-4699-3p,29,4.832069145,23862,6.385202417,0.271297027,0.028139127,1
hsa-miR-4699-5p,51,6.442927038,23840,6.383189631,0.159351559,0.150795473,1
hsa-miR-4700-3p,1271,6.277597198,22620,6.389257473,0.030723387,0.206024508,1
hsa-miR-4700-5p,3277,6.004553171,20614,6.443529123,0.030148725,0.011714108,1
hsa-miR-4701-3p,1248,6.266324047,22643,6.389765388,0.031168573,0.200685741,1
hsa-miR-4701-5p,882,6.006642549,23009,6.397756154,0.030939584,0.39033846,1
hsa-miR-4703-3p,30,6.738873374,23861,6.382870118,0.148943185,0.519489133,1
hsa-miR-4703-5p,25,6.264384527,23866,6.383441736,0.13900947,0.720066459,1
hsa-miR-4704-3p,543,6.202628008,23348,6.387519405,0.034414911,0.555928433,1
hsa-miR-4704-5p,270,6.969403118,23621,6.376617893,0.090377991,0.02553195,1
hsa-miR-4705,138,5.345373036,23753,6.389347392,0.069834657,0.51515572,1
hsa-miR-4706,1158,6.010836877,22733,6.402290986,0.037665375,0.087742864,1
hsa-miR-4707-3p,1135,6.235831173,22756,6.390673304,0.017201834,0.906309987,1
hsa-miR-4707-5p,1005,5.735225915,22886,6.411776983,0.05799209,0.003081648,1
hsa-miR-4708-3p,639,5.830236179,23252,6.398516651,0.050001588,0.089216953,1
hsa-miR-4708-5p,413,5.773993982,23478,6.394035717,0.065534124,0.061237386,1
hsa-miR-4709-3p,1200,5.914972032,22691,6.408085304,0.052649619,0.003604923,1
hsa-miR-4709-5p,269,6.615822643,23622,6.380669452,0.040759528,0.768852468,1
hsa-miR-4710,2492,5.883158512,21399,6.441562646,0.03472348,0.009192674,1
hsa-miR-4711-3p,87,6.269021659,23804,6.383734885,0.091330154,0.464836129,1
hsa-miR-4711-5p,476,6.017892379,23415,6.390745817,0.071675397,0.016569698,1
hsa-miR-4712-3p,86,6.270550093,23805,6.383724544,0.062486384,0.891489686,1
hsa-miR-4712-5p,331,6.400363354,23560,6.383077666,0.046450408,0.481846128,1
hsa-miR-4713-3p,892,6.073154963,22999,6.395346574,0.035915775,0.217949777,1
hsa-miR-4713-5p,1911,5.91894775,21980,6.42369067,0.037090495,0.015855746,1
hsa-miR-4714-3p,342,6.628428004,23549,6.379757429,0.077367485,0.035348935,1
hsa-miR-4714-5p,267,5.770945596,23624,6.390238216,0.062886755,0.247340632,1
hsa-miR-4715-3p,1780,6.073159937,22111,6.408285713,0.024995439,0.254765987,1
hsa-miR-4715-5p,338,5.406455685,23553,6.397335713,0.072795159,0.05851843,1
hsa-miR-4716-3p,2237,6.017312386,21654,6.421127841,0.031884725,0.032406397,1
hsa-miR-4716-5p,217,6.404623871,23674,6.383121851,0.054582814,0.543499717,1
hsa-miR-4717-3p,1499,5.966340784,22392,6.411231031,0.028929433,0.190262244,1
hsa-miR-4717-5p,1459,6.038685193,22432,6.405732364,0.029401385,0.187107647,1
hsa-miR-4718,85,5.593164174,23806,6.386138416,0.098203122,0.387541685,1
hsa-miR-4719,38,8.005653972,23853,6.380732622,0.207487969,0.076260537,1
hsa-miR-4720-3p,19,5.720026353,23872,6.383845073,0.288922499,0.084036814,1
hsa-miR-4720-5p,248,6.471615879,23643,6.382390955,0.03995164,0.828268077,1
hsa-miR-4722-3p,2102,6.080222692,21789,6.412556886,0.02867326,0.085505473,1
hsa-miR-4722-5p,4682,5.980792284,19209,6.481428529,0.030267509,0.002020825,1
hsa-miR-4723-5p,2490,5.911074996,21401,6.438262387,0.038360348,0.002819377,1
hsa-miR-4724-3p,227,6.328411549,23664,6.383843841,0.04263023,0.808485375,1
hsa-miR-4724-5p,383,6.562241011,23508,6.380402066,0.057216564,0.169493115,1
hsa-miR-4725-3p,3449,5.977877646,20442,6.451723417,0.037565625,0.000482821,1
hsa-miR-4725-5p,929,5.624877304,22962,6.414002224,0.047676092,0.034531297,1
hsa-miR-4726-3p,2005,5.785254656,21886,6.438106301,0.044863921,0.001230042,1
hsa-miR-4726-5p,3600,5.995705518,20291,6.45208665,0.033524729,0.002071197,1
hsa-miR-4727-3p,347,6.28015828,23544,6.384837545,0.046938909,0.438392099,1
hsa-miR-4727-5p,1010,5.963747392,22881,6.40183756,0.055624343,0.005028429,1
hsa-miR-4728-3p,514,5.771043091,23377,6.396779481,0.045900815,0.239819806,1
hsa-miR-4728-5p,5026,6.048328507,18865,6.472564591,0.026776458,0.006753081,1
hsa-miR-4729,79,6.853502689,23812,6.381757239,0.067564594,0.864899821,1
hsa-miR-4730,222,5.308813939,23669,6.393395301,0.101781743,0.020989319,1
hsa-miR-4731-3p,322,5.868595144,23569,6.390349291,0.070980304,0.081447789,1
hsa-miR-4732-3p,1363,6.126416727,22528,6.398860266,0.027174856,0.298680827,1
hsa-miR-4732-5p,449,6.385059466,23442,6.38328378,0.045232141,0.328231133,1
hsa-miR-4733-3p,2122,5.850750738,21769,6.435230696,0.042000295,0.002180021,1
hsa-miR-4733-5p,412,5.863009007,23479,6.392447309,0.047070363,0.33100837,1
hsa-miR-4734,894,5.468952659,22997,6.418862739,0.057450155,0.006823685,1
hsa-miR-4735-3p,59,6.118920634,23832,6.383971709,0.163964844,0.084461344,1
hsa-miR-4735-5p,15,5.770411006,23876,6.383702208,0.267364718,0.234186457,1
hsa-miR-4736,1572,6.033064465,22319,6.407986592,0.032127261,0.096467,1
hsa-miR-4737,178,5.317300581,23713,6.391319132,0.103855705,0.044242309,1
hsa-miR-4738-3p,1064,6.064276442,22827,6.398188108,0.024283339,0.586530907,1
hsa-miR-4738-5p,368,6.198665739,23523,6.386205887,0.064216636,0.100728196,1
hsa-miR-4740-3p,486,6.253691725,23405,6.386008797,0.028769397,0.825550374,1
hsa-miR-4740-5p,920,5.841711011,22971,6.405008748,0.042949664,0.076504651,1
hsa-miR-4741,1967,5.840189362,21924,6.43204605,0.041334802,0.004190418,1
hsa-miR-4742-3p,252,5.878139844,23639,6.388702519,0.053486235,0.473593848,1
hsa-miR-4742-5p,657,6.299608965,23234,6.385684212,0.029074066,0.652607454,1
hsa-miR-4743-3p,519,5.56957337,23372,6.401387194,0.062732624,0.036770986,1
hsa-miR-4743-5p,515,5.789974347,23376,6.396389172,0.04287378,0.312497184,1
hsa-miR-4744,68,6.508748508,23823,6.382959123,0.074191772,0.849488017,1
hsa-miR-4745-3p,1076,5.695459482,22815,6.415757865,0.05262382,0.006752026,1
hsa-miR-4746-3p,381,6.45037087,23510,6.382230488,0.046947912,0.380360634,1
hsa-miR-4746-5p,476,5.934619886,23415,6.392438651,0.048297974,0.22654916,1
hsa-miR-4747-3p,659,5.602921018,23232,6.405453905,0.058981686,0.023156249,1
hsa-miR-4747-5p,3725,6.009487577,20166,6.452369774,0.027821564,0.015385339,1
hsa-miR-4748,545,5.924036385,23346,6.394038818,0.053645085,0.093275794,1
hsa-miR-4749-3p,1759,5.697630532,22132,6.437813933,0.049479468,0.000685368,1
hsa-miR-4749-5p,1092,6.042628779,22799,6.399635048,0.034717278,0.162119743,1
hsa-miR-4750-3p,1220,6.057198202,22671,6.40086667,0.03983279,0.050762241,1
hsa-miR-4750-5p,131,6.289630488,23760,6.383833691,0.059924307,0.737708754,1
hsa-miR-4751,1134,5.84637309,22757,6.410073516,0.044878065,0.025787022,1
hsa-miR-4752,282,5.647993325,23609,6.392100299,0.072081238,0.110492229,1
hsa-miR-4753-3p,302,5.883442901,23589,6.389716831,0.065797589,0.151201468,1
hsa-miR-4753-5p,732,5.880900897,23159,6.399197315,0.038918057,0.232725749,1
hsa-miR-4754,211,5.523828772,23680,6.3909756,0.125922449,0.002634181,1
hsa-miR-4755-5p,943,5.802340742,22948,6.407191161,0.065857781,0.000773932,1
hsa-miR-4756-3p,602,5.879532226,23289,6.396339546,0.045362268,0.178591862,1
hsa-miR-4756-5p,2675,6.037976984,21216,6.426859052,0.028880883,0.038018755,1
hsa-miR-4757-3p,71,5.035602287,23820,6.38733427,0.186654604,0.014415916,1
hsa-miR-4758-3p,1970,5.948834401,21921,6.422363319,0.031134505,0.060131606,1
hsa-miR-4758-5p,1890,6.170512064,22001,6.401598213,0.022177611,0.35885673,1
hsa-miR-4759,138,6.105785776,23753,6.384929552,0.068362989,0.542905602,1
hsa-miR-4760-3p,5,3.678558198,23886,6.383883333,0,1,1
hsa-miR-4760-5p,1,8.31249134,23890,6.3832364,0,1,1
hsa-miR-4761-3p,499,5.636606952,23392,6.399246033,0.072991828,0.010966089,1
hsa-miR-4761-5p,437,7.152986077,23454,6.368976514,0.058503534,0.106066095,1
hsa-miR-4762-3p,114,6.738708686,23777,6.38161321,0.093100069,0.279076335,1
hsa-miR-4762-5p,136,5.116102394,23755,6.390572097,0.134200849,0.015334478,1
hsa-miR-4763-5p,1846,5.960095909,22045,6.418756772,0.035861297,0.02502154,1
hsa-miR-4764-3p,156,5.908246192,23735,6.38643959,0.075668033,0.337413606,1
hsa-miR-4764-5p,526,6.479857442,23365,6.381143808,0.034906212,0.557701955,1
hsa-miR-4765,52,6.263789212,23839,6.383577878,0.065900415,0.977871437,1
hsa-miR-4766-3p,13,5.62670631,23878,6.383729077,0.350113075,0.08272382,1
hsa-miR-4766-5p,449,6.132122633,23442,6.388128446,0.046112198,0.306056968,1
hsa-miR-4767,529,5.766876568,23362,6.397275592,0.071410377,0.010228263,1
hsa-miR-4768-3p,1244,6.014406576,22647,6.403581415,0.030885354,0.210606665,1
hsa-miR-4768-5p,645,5.807860584,23246,6.399284178,0.041141695,0.238564603,1
hsa-miR-4769-3p,697,5.820570777,23194,6.400228173,0.046389081,0.108684049,1
hsa-miR-4769-5p,1073,5.927579488,22818,6.404747887,0.040172745,0.073191426,1
hsa-miR-4770,88,5.538987853,23803,6.386438649,0.109175028,0.246893944,1
hsa-miR-4771,87,6.447743305,23804,6.383081684,0.095123586,0.41286677,1
hsa-miR-4772-3p,1327,6.401323807,22564,6.382258172,0.02066459,0.658246497,1
hsa-miR-4772-5p,122,5.655597039,23769,6.387052347,0.073538063,0.527675379,1
hsa-miR-4773,869,6.45501182,23022,6.380610929,0.03759445,0.187360762,1
hsa-miR-4774-3p,42,7.094670916,23849,6.382064401,0.199302556,0.071529908,1
hsa-miR-4774-5p,144,6.478431163,23747,6.382740388,0.060960039,0.662045644,1
hsa-miR-4775,9,3.436688155,23882,6.384427598,0,1,1
hsa-miR-4776-3p,425,6.662694823,23466,6.378257257,0.040360672,0.504650202,1
hsa-miR-4776-5p,986,5.941156391,22905,6.40235101,0.039473254,0.105100818,1
hsa-miR-4777-3p,75,5.020301914,23816,6.387609483,0.145428843,0.084635472,1
hsa-miR-4777-5p,43,5.016083773,23848,6.385782392,0.150615721,0.284487355,1
hsa-miR-4778-3p,578,6.227555961,23313,6.387178945,0.045386932,0.19563409,1
hsa-miR-4778-5p,68,7.827170962,23823,6.379195838,0.125585507,0.235195741,1
hsa-miR-4779,1425,6.216692227,22466,6.393886035,0.019152435,0.70941084,1
hsa-miR-4780,616,5.867977428,23275,6.396956219,0.079044039,0.001107257,1
hsa-miR-4781-3p,63,6.45673979,23828,6.383123026,0.084499095,0.760729848,1
hsa-miR-4781-5p,518,6.06074305,23373,6.390466144,0.036023895,0.52642945,1
hsa-miR-4782-3p,51,4.692171719,23840,6.386934955,0.257914693,0.002294116,1
hsa-miR-4782-5p,49,5.685022422,23842,6.384752285,0.081698563,0.899850671,1
hsa-miR-4783-3p,593,6.321459252,23298,6.384891611,0.052746242,0.080085118,1
hsa-miR-4783-5p,151,5.40361314,23740,6.389548631,0.111449924,0.048107086,1
hsa-miR-4784,1444,5.994259218,22447,6.40834498,0.049419982,0.002647881,1
hsa-miR-4785,194,5.724256596,23697,6.388712677,0.075445628,0.223390893,1
hsa-miR-4786-3p,1824,6.08740862,22067,6.407776171,0.031712532,0.067506405,1
hsa-miR-4786-5p,2185,6.185955003,21706,6.403184299,0.025839232,0.141131895,1
hsa-miR-4787-3p,281,6.690316744,23610,6.379663324,0.067283602,0.161753936,1
hsa-miR-4787-5p,776,5.67996193,23115,6.406929683,0.051266583,0.038641363,1
hsa-miR-4788,92,5.599838002,23799,6.386345854,0.143182395,0.04667438,1
hsa-miR-4789-3p,257,5.987638436,23634,6.387619828,0.041508985,0.77343312,1
hsa-miR-4789-5p,136,6.301444704,23755,6.383785881,0.065149442,0.614386564,1
hsa-miR-4790-3p,70,5.815595934,23821,6.384985448,0.092002855,0.595927476,1
hsa-miR-4790-5p,2,12.92265765,23889,6.382769675,0,1,1
hsa-miR-4791,15,7.224930173,23876,6.382788412,0.262863685,0.251459765,1
hsa-miR-4793-3p,2295,6.290747007,21596,6.393154552,0.012950151,0.877440454,1
hsa-miR-4793-5p,1863,5.939177898,22028,6.420879865,0.04035239,0.007440268,1
hsa-miR-4794,652,6.150770024,23239,6.389841561,0.031923805,0.537726512,1
hsa-miR-4795-3p,2,14.76914089,23889,6.382615086,0,1,1
hsa-miR-4795-5p,31,5.111890015,23860,6.384969048,0.209354298,0.13251893,1
hsa-miR-4796-3p,186,6.476248213,23705,6.382587974,0.079817334,0.19029001,1
hsa-miR-4796-5p,33,7.40586773,23858,6.381902777,0.092622511,0.939986316,1
hsa-miR-4797-3p,246,5.97231606,23645,6.387593163,0.038189204,0.869687352,1
hsa-miR-4797-5p,605,7.021633808,23286,6.366732871,0.066414751,0.011010465,1
hsa-miR-4798-3p,36,5.588558579,23855,6.384516536,0.103990545,0.831761792,1
hsa-miR-4798-5p,7,13.29061427,23884,6.381292739,0,1,1
hsa-miR-4799-3p,199,5.768681054,23692,6.388479763,0.08050488,0.154852167,1
hsa-miR-4799-5p,38,5.450362473,23853,6.384803434,0.092508501,0.901563802,1
hsa-miR-4800-3p,149,5.765469951,23742,6.387194636,0.079975509,0.299890097,1
hsa-miR-4800-5p,460,5.901704676,23431,6.392772222,0.040306135,0.456088988,1
hsa-miR-4801,184,5.566979094,23707,6.389653095,0.060104244,0.524510215,1
hsa-miR-4802-3p,355,6.103180961,23536,6.387542524,0.029247494,0.925841546,1
hsa-miR-4802-5p,479,5.955794265,23412,6.392064097,0.037525588,0.523123317,1
hsa-miR-4803,12,9.462136557,23879,6.381769942,0.272292949,0.336149352,1
hsa-miR-4804-3p,39,8.58482997,23852,6.379717496,0.147792799,0.362807167,1
hsa-miR-4804-5p,184,5.546740748,23707,6.389810174,0.06748603,0.376524813,1
hsa-miR-483-3p,959,5.943992226,22932,6.401689409,0.041445607,0.084643875,1
hsa-miR-483-5p,492,6.233479653,23399,6.386467716,0.037457128,0.50841854,1
hsa-miR-484,1510,5.69889099,22381,6.429493976,0.05401859,0.000519698,1
hsa-miR-485-3p,145,5.830291479,23746,6.386694088,0.037410293,0.987686769,1
hsa-miR-485-5p,2196,6.008378175,21695,6.42126903,0.027239537,0.103697289,1
hsa-miR-486-5p,506,5.783101854,23385,6.396304492,0.064549925,0.032249827,1
hsa-miR-487a-3p,73,5.330820346,23818,6.386542959,0.114005524,0.300586126,1
hsa-miR-487a-5p,103,6.163979876,23788,6.384266864,0.087739025,0.408759834,1
hsa-miR-487b-3p,18,5.894248734,23873,6.383685905,0.1201427,0.957520045,1
hsa-miR-487b-5p,112,7.019082956,23779,6.380322671,0.0714312,0.620129956,1
hsa-miR-488-3p,113,7.410824021,23778,6.378434139,0.085401691,0.384935738,1
hsa-miR-488-5p,220,6.694541775,23671,6.380424608,0.048705551,0.679272515,1
hsa-miR-489-3p,226,6.773826295,23665,6.379587802,0.05500431,0.507253416,1
hsa-miR-489-5p,23,5.382283815,23868,6.384281781,0.121607246,0.88604967,1
hsa-miR-490-3p,845,5.876833272,23046,6.401887788,0.04619467,0.061685901,1
hsa-miR-490-5p,371,5.58688993,23520,6.395879843,0.054080028,0.235771681,1
hsa-miR-491-3p,28,5.480914784,23863,6.384375999,0.144868625,0.600104011,1
hsa-miR-491-5p,1451,5.852919876,22440,6.41761334,0.038585351,0.034560854,1
hsa-miR-492,1052,5.662171415,22839,6.416534251,0.056894334,0.002974928,1
hsa-miR-493-3p,533,6.449040066,23358,6.381817438,0.027705876,0.81860789,1
hsa-miR-493-5p,148,6.209301967,23743,6.384401861,0.060311375,0.658452223,1
hsa-miR-494-3p,56,6.444352851,23835,6.38317375,0.103996224,0.581437179,1
hsa-miR-494-5p,226,5.904259241,23665,6.38789214,0.075890612,0.151691551,1
hsa-miR-495-3p,69,5.939705161,23822,6.384602066,0.110604739,0.369131581,1
hsa-miR-495-5p,45,4.914163884,23846,6.386089604,0.112825818,0.616831207,1
hsa-miR-496,15,5.659671018,23876,6.38377178,0.152465516,0.876846089,1
hsa-miR-497-3p,425,5.864654725,23466,6.392710808,0.058992986,0.10942232,1
hsa-miR-497-5p,1362,6.090038323,22529,6.401047445,0.020983853,0.623772696,1
hsa-miR-498-3p,491,6.351951881,23400,6.383975287,0.035134733,0.592807384,1
hsa-miR-498-5p,419,6.279515482,23472,6.385170122,0.049728372,0.260530344,1
hsa-miR-4999-3p,102,7.34981628,23789,6.379173098,0.093132928,0.341710534,1
hsa-miR-4999-5p,116,7.813306728,23775,6.376340126,0.12197179,0.064465874,1
hsa-miR-499a-3p,241,6.423276285,23650,6.382909958,0.06319002,0.296627445,1
hsa-miR-499a-5p,28,6.404042602,23863,6.383292834,0.093994887,0.965780473,1
hsa-miR-499b-3p,80,5.309868203,23811,6.386923717,0.14008284,0.087498341,1
hsa-miR-499b-5p,204,5.598307144,23687,6.390077909,0.079435274,0.155702608,1
hsa-miR-5000-3p,1102,6.098711547,22789,6.39707973,0.023434866,0.61069737,1
hsa-miR-5000-5p,431,6.562777826,23460,6.380020155,0.038572937,0.554689887,1
hsa-miR-5001-3p,2285,6.221595495,21606,6.400420456,0.0173444,0.563049082,1
hsa-miR-5002-3p,524,5.984383415,23367,6.392263156,0.040901209,0.357922404,1
hsa-miR-5002-5p,159,6.424398016,23732,6.383041918,0.079214488,0.274859363,1
hsa-miR-5003-3p,197,7.153051697,23694,6.376917317,0.112857932,0.013789931,1
hsa-miR-5003-5p,647,5.954527014,23244,6.395252586,0.042261359,0.210861316,1
hsa-miR-5004-3p,295,6.362448764,23596,6.383578051,0.037608644,0.804367208,1
hsa-miR-5004-5p,1165,5.807202137,22726,6.412850462,0.050412093,0.007158036,1
hsa-miR-5006-5p,2444,5.872286498,21447,6.44155182,0.039166489,0.002386193,1
hsa-miR-5007-3p,20,7.188427741,23871,6.382642601,0.118960245,0.939920497,1
hsa-miR-5007-5p,505,5.888672631,23386,6.393998563,0.034482338,0.599205559,1
hsa-miR-5008-3p,1333,6.131603305,22558,6.398191456,0.030319143,0.197542174,1
hsa-miR-5008-5p,2371,5.926988964,21520,6.433593831,0.036509151,0.006736132,1
hsa-miR-5009-3p,49,6.085987363,23842,6.383928223,0.099308543,0.720459277,1
hsa-miR-5009-5p,551,5.518345686,23340,6.403737001,0.054573207,0.081005289,1
hsa-miR-500a-3p,792,5.833111922,23099,6.402182148,0.048649893,0.05331062,1
hsa-miR-500a-5p,393,6.625909279,23498,6.379259841,0.029200904,0.896603912,1
hsa-miR-500b-3p,2600,6.034743811,21291,6.425883997,0.032306337,0.015867897,1
hsa-miR-500b-5p,104,6.278494553,23787,6.383775451,0.099901045,0.252654562,1
hsa-miR-5010-3p,95,6.946905133,23796,6.381067158,0.055876706,0.929161068,1
hsa-miR-5010-5p,966,6.248765139,22925,6.388986825,0.026125836,0.551612686,1
hsa-miR-5011-3p,107,6.390382872,23784,6.383285365,0.044930465,0.982572534,1
hsa-miR-5011-5p,29,4.474609429,23862,6.385636846,0.268135168,0.031061381,1
hsa-miR-501-3p,398,6.091940665,23493,6.388253424,0.032169103,0.812737198,1
hsa-miR-501-5p,281,5.82342735,23610,6.389980813,0.034892176,0.887851305,1
hsa-miR-502-3p,409,6.240405838,23482,6.385806324,0.020030637,0.997025394,1
hsa-miR-502-5p,509,5.929605854,23382,6.39319394,0.05786973,0.071115449,1
hsa-miR-503-3p,262,6.310761142,23629,6.384121658,0.037988156,0.848683482,1
